x,y,z
-9.36547,3.50533,48.1
-9.42988,3.32819,48.2
-9.49095,3.14986,48.3
-9.54864,2.97041,48.4
-9.60294,2.78991,48.5
-9.65381,2.60841,48.6
-9.70125,2.42599,48.7
-9.74524,2.2427,48.8
-9.78578,2.05862,48.9
-9.82284,1.87381,49
-9.85642,1.68833,49.1
-9.88649,1.50225,49.2
-9.91306,1.31564,49.3
-9.93611,1.12856,49.4
-9.95562,0.941083,49.5
-9.97158,0.753269,49.6
-9.984,0.565187,49.7
-9.99287,0.376903,49.8
-9.99819,0.188485,49.9
-9.99997,-4.24172e-12,50
-9.99819,-0.188485,50.1
-9.99287,-0.376903,50.2
-9.984,-0.565187,50.3
-9.97158,-0.753269,50.4
-9.95562,-0.941083,50.5
-9.93611,-1.12856,50.6
-9.91306,-1.31564,50.7
-9.88649,-1.50225,50.8
-9.85642,-1.68833,50.9
-9.82284,-1.87381,51
-9.78578,-2.05862,51.1
-9.74524,-2.2427,51.2
-9.70125,-2.42599,51.3
-9.65381,-2.60841,51.4
-9.60294,-2.78991,51.5
-9.54864,-2.97041,51.6
-9.49095,-3.14986,51.7
-9.42988,-3.32819,51.8
-9.36547,-3.50533,51.9
-9.29773,-3.68123,52
-9.2267,-3.85583,52.1
-9.15239,-4.02906,52.2
-9.07483,-4.20085,52.3
-8.99405,-4.37116,52.4
-8.91006,-4.53991,52.5
-8.82291,-4.70704,52.6
-8.73262,-4.87249,52.7
-8.63922,-5.03622,52.8
-8.54275,-5.19816,52.9
-8.44325,-5.35825,53
-8.34076,-5.51644,53.1
-8.2353,-5.67268,53.2
-8.12693,-5.8269,53.3
-8.01566,-5.97905,53.4
-7.90155,-6.12907,53.5
-7.78462,-6.27691,53.6
-7.66492,-6.42252,53.7
-7.5425,-6.56584,53.8
-7.4174,-6.70683,53.9
-7.28966,-6.84545,54
-7.15934,-6.98163,54.1
-7.02648,-7.11534,54.2
-6.89112,-7.24652,54.3
-6.75332,-7.37513,54.4
-6.61312,-7.50111,54.5
-6.47056,-7.62442,54.6
-6.3257,-7.74502,54.7
-6.17859,-7.86287,54.8
-6.02928,-7.97792,54.9
-5.87783,-8.09014,55
-5.7243,-8.19949,55.1
-5.56874,-8.30594,55.2
-5.4112,-8.40943,55.3
-5.25174,-8.50994,55.4
-5.09041,-8.60742,55.5
-4.92727,-8.70184,55.6
-4.76238,-8.79315,55.7
-4.59579,-8.88135,55.8
-4.42757,-8.96638,55.9
-4.25778,-9.04824,56
-4.08648,-9.12689,56.1
-3.91372,-9.20229,56.2
-3.73958,-9.27443,56.3
-3.56411,-9.34328,56.4
-3.38738,-9.40881,56.5
-3.20944,-9.47098,56.6
-3.03035,-9.52979,56.7
-2.85019,-9.5852,56.8
-2.66901,-9.63721,56.9
-2.48689,-9.6858,57
-2.30389,-9.73095,57.1
-2.12006,-9.77265,57.2
