x,y,z
-1.53942,50.0013,0
-1.41189,50.0014,0
-1.28436,50.0015,0
-1.15684,50.0015,0
-1.02931,50.0016,0
-0.901781,50.0016,0
-0.774253,50.0015,0
-0.646724,50.0014,0
-0.519196,50.0013,0
-0.391668,50.001,0
-0.264139,50.0008,0
-0.136611,50.0004,0
-0.00908206,50,0
0.118447,49.9995,0
0.245975,49.9989,0
0.373502,49.9981,0
0.501026,49.9971,0
0.628547,49.9959,0
0.756064,49.9942,0
0.883576,49.9923,0
1.01108,49.9899,0
1.13858,49.9872,0
1.26607,49.9841,0
1.39356,49.9806,0
1.52103,49.9769,0
1.6485,49.9728,0
1.77595,49.9684,0
1.9034,49.9637,0
2.03083,49.9587,0
2.15824,49.9534,0
2.28565,49.9477,0
2.41303,49.9417,0
2.54041,49.9354,0
2.66776,49.9288,0
2.7951,49.9218,0
2.92242,49.9145,0
3.04972,49.9069,0
3.17701,49.899,0
3.30427,49.8907,0
3.43151,49.8821,0
3.55872,49.8732,0
3.68592,49.864,0
3.81309,49.8544,0
3.94023,49.8445,0
4.06735,49.8343,0
4.19445,49.8238,0
4.32151,49.8129,0
4.44855,49.8017,0
4.57556,49.7902,0
4.70254,49.7784,0
4.82949,49.7662,0
4.9564,49.7537,0
5.08329,49.7409,0
5.21014,49.7278,0
5.33696,49.7144,0
5.46374,49.7006,0
5.59049,49.6865,0
5.7172,49.6721,0
5.84387,49.6573,0
5.97051,49.6423,0
6.09711,49.6269,0
6.22366,49.6111,0
6.35018,49.5951,0
6.47666,49.5788,0
6.60309,49.5621,0
6.72948,49.5451,0
6.85583,49.5277,0
6.98213,49.5101,0
7.10839,49.4921,0
7.2346,49.4738,0
7.36076,49.4552,0
7.48688,49.4363,0
7.61294,49.417,0
7.73896,49.3975,0
7.86493,49.3776,0
7.99084,49.3573,0
8.11671,49.3368,0
8.24252,49.3159,0
8.36828,49.2947,0
8.49398,49.2732,0
8.61963,49.2514,0
8.74522,49.2293,0
8.87075,49.2068,0
8.99623,49.184,0
9.12165,49.1609,0
9.24701,49.1375,0
9.37231,49.1137,0
9.49755,49.0897,0
9.62272,49.0653,0
9.74784,49.0406,0
9.87289,49.0156,0
9.99787,48.9902,0
10.1228,48.9646,0
10.2476,48.9386,0
10.3724,48.9123,0
10.4972,48.8857,0
10.6218,48.8587,0
10.7464,48.8315,0
10.8709,48.8039,0
10.9953,48.776,0
11.1197,48.7478,0
11.244,48.7193,0
11.3682,48.6905,0
11.4924,48.6613,0
11.6165,48.6319,0
11.7405,48.6021,0
11.8644,48.572,0
11.9883,48.5415,0
12.112,48.5108,0
12.2357,48.4798,0
12.3593,48.4484,0
12.4829,48.4167,0
12.6063,48.3847,0
12.7297,48.3524,0
12.853,48.3198,0
12.9762,48.2868,0
13.0993,48.2536,0
13.2223,48.22,0
